ds,yhat,yhat_lower,yhat_upper
2023-12-13,8341.456904580873,-3731.646034613936,19887.66980929564
2023-12-14,11498.286394841693,37.61278346984416,22907.790388563742
2023-12-15,12701.774006892994,493.0861360938358,24256.540418585973
2023-12-16,10024.31027636084,-1720.9217086001372,21739.100123918128
2023-12-18,11927.535105262472,512.697365964561,24127.00898659136
2023-12-19,13902.233175600999,2923.002085224143,26513.6100721816
2023-12-20,11646.55028733949,1873.4989385183942,23723.01251439469
2023-12-21,15254.706385965354,3623.946321479187,26005.82362347841
2023-12-22,16857.720095202883,5570.917318052259,28729.881438638047
2023-12-23,14519.499318016391,3274.6697859552996,26313.81966544055
2023-12-25,16892.9606753349,6050.969542155094,27511.553256343686
2023-12-26,18988.735649190156,7012.904237024389,30139.212726146565
2023-12-27,16774.270454923062,6009.922655810515,28142.95179137197
2023-12-28,20343.11579918809,8550.144152447978,31430.9735479073
2023-12-29,21827.41846996147,10487.349319566365,32908.75197693057
2023-12-30,19293.987122694933,8488.129738287138,31080.80232879295
2023-12-31,21951.076779323314,10018.285221794988,33733.3262973907
2024-01-01,21067.533066105483,8902.96002180558,31656.124683712
2024-01-02,22772.427112981215,11457.77452209743,34418.32151437322
2024-01-03,20117.886882675448,9354.160202484189,31891.30795466598
2024-01-04,23207.368004510216,12266.841799087655,34513.36394418433
2024-01-05,24183.703266172288,12932.590145861559,35470.13172218006
2024-01-06,21124.903534411307,9882.655178393352,32440.716518500005
2024-01-07,23250.665429634977,11260.283950950727,34363.014221546284
2024-01-08,21841.234056088382,9975.78856990296,34076.62249205429
2024-01-09,23036.759091618085,11813.321580361313,34907.3429506213
2024-01-10,19899.857290222524,8416.57751421665,31428.912385910688
2024-01-11,22543.63146401228,11042.346672678952,33072.281752064155
2024-01-12,23119.49160705502,11718.124136437928,34425.555670035545
2024-01-13,19712.756783214336,8406.576168246223,31206.507437984408
2024-01-14,21548.99813985904,10845.381991926362,33363.10624819038
2024-01-15,19912.77543876462,9423.063024395407,30897.543313022445
2024-01-16,20946.908442215612,9577.829144899832,32436.046266545818
2024-01-17,17714.99811051329,6449.793672031958,28653.791790003685
2024-01-18,20329.448402047365,8790.437102512762,30732.341313497735
2024-01-19,20939.3338724906,9772.681960999216,32342.690163974403
2024-01-20,17626.09005839237,5892.255254264526,28868.85073792747
2024-01-21,19609.984251060032,8252.325944901886,30780.94347528584
2024-01-22,18169.015260529573,6420.861663217886,29846.809503241904
2024-01-23,19438.37879062059,7558.752823499655,31621.833393773097
2024-01-24,16473.207874918113,4927.157982034425,27889.49700734902
2024-01-25,19376.833026405573,7648.7229371599415,31246.462208191722
2024-01-26,20288.900699124297,8008.392141637611,31729.98359431499
2024-01-27,17281.320175245484,5384.117704885086,28544.144514640306
2024-01-28,19564.989527615355,9013.677981592311,31969.17077110135
2024-01-29,18408.942411178796,7252.6022813444315,29836.666744177466
2024-01-30,19940.045753800194,8658.444379208662,30717.74302823102
2024-01-31,17205.95171998749,5110.69760218472,29533.547669583582
2024-02-01,20303.543161153713,7590.846523639208,31688.840167568535
2024-02-02,21367.20649299582,9962.14736854719,32012.694715840218
2024-02-03,18464.898356885926,6718.873273845503,28990.2082839139
2024-02-04,20804.95395724273,8335.972820068848,32697.264972189216
2024-02-05,19655.277130791677,8965.219414605715,31208.8593502311
2024-02-06,21143.041620288706,10152.2464445533,32230.320493258394
2024-02-07,18317.607430434768,7034.013947202394,29500.136095541624
2024-02-08,21278.893059433376,10157.803832249798,32238.52193381752
2024-02-09,22165.540146315885,10646.430432805995,33701.40275542836
2024-02-10,19050.840424851987,6631.9783514881665,30535.14825693466
2024-02-11,21149.377234287123,10260.525842672856,32524.510100717365
2024-02-12,19736.026693422446,7967.1818369169405,30578.588135118207
2024-02-13,20945.453602661215,10109.148577063223,32347.622696262744
2024-02-14,17834.811921515677,6585.894210025785,28869.982617016598
2024-02-15,20511.89678918633,8957.008909649056,31928.18243878434
2024-02-16,21123.09083018615,9153.197241971295,32027.15642816467
2024-02-17,17749.080689851067,6184.960127875918,29260.593885420323
2024-02-18,19611.301786148993,7776.303875204758,32153.740319856694
2024-02-19,17990.76164533538,7080.26531553,29952.365666564157
2024-02-20,19027.381527948924,7709.936810729113,30849.52126163248
2024-02-21,15782.570092527381,3889.272510611315,27364.038033224988
2024-02-22,18367.279121975076,7222.788442613189,29912.221292737726
2024-02-23,18929.886193107115,7753.728621863585,28986.72249726463
2024-02-24,15551.881407622437,4527.428652749794,27468.62530674874
2024-02-25,17454.316357869488,5352.050372569558,28996.114436816046
2024-02-26,15916.664905931828,4916.428249474459,26095.07496526664
2024-02-27,17076.23375452467,5823.464053761323,28355.232414230995
2024-02-28,13990.83395364258,2468.4745923376017,26300.160871255015
2024-02-29,16766.959978068124,5659.600627127646,27499.19882089132
2024-03-01,17547.817190304533,7380.675546853161,28522.63806479105
2024-03-02,14409.170193255177,3438.227407081023,26137.73610684183
2024-03-03,16565.96522743721,5952.346726802451,28117.03437236825
2024-03-04,15291.370920724057,4149.294298632533,26818.840190820694
2024-03-05,16716.370004191616,5426.675513087709,28819.214904817876
2024-03-06,13892.6078386186,2330.134611355458,25192.839722632616
2024-03-07,16920.739306453313,5535.347160038015,28782.41291646972
2024-03-08,17938.610170355838,5885.066422142632,28555.47164122442
2024-03-09,15017.24118731829,3961.7101356501375,26278.465035613015
2024-03-10,17367.564535897905,6435.931725722171,29289.441703280103
2024-03-11,16259.553979473749,4821.635566256783,27737.043430910668
2024-03-12,17821.87928281965,6060.6605570979655,28930.98412422482
2024-03-13,15104.7894685249,3802.0689369883817,26596.916807894093
2024-03-14,18208.46607265668,7431.443336048634,30125.86881331638
2024-03-15,19271.182966374956,7985.316110315918,29546.71228612156
2024-03-16,16365.242332178927,4554.866224247818,27787.075710926052
2024-03-17,18703.63843285314,7074.966654176353,29564.456298407054
2024-03-18,17559.093383589287,5932.194249256634,28223.37492815666
2024-03-19,19063.598843306252,8066.843669979082,31234.909498270736
2024-03-20,16271.172108444824,5109.725797638831,27680.40152110418
2024-03-21,19286.0720384163,7386.289632675676,30028.15773321878
2024-03-22,20250.815884767864,8799.262223403071,30594.711985052953
2024-03-23,17241.971213396013,5512.648612646899,29410.817855045105
2024-03-24,19476.679109669563,8318.792357778802,30568.359585219678
2024-03-25,18231.557242159626,7309.188430872975,28956.877162500896
2024-03-26,19642.120745278855,7673.208185619994,30578.725989476072
2024-03-27,16765.43300876666,5511.599823353574,28937.262221792447
2024-03-28,19708.23486047489,8542.94218283507,32139.70433096725
2024-03-29,20614.89563768896,9450.212995809883,31144.96138050825
2024-03-30,17563.16205697849,6200.501107192908,28346.280629305493
2024-03-31,19770.66204696118,8260.199109683661,31631.307625997903
